,product_id,is_casual,is_modern,is_androgynous,is_romantic,is_boho,is_business casual,is_edgy,is_glam,is_classic,is_athleisure,is_retro
0,01DPC9GSTT72KHNN0MNDNKH7RD,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,01DPCB2KEAVXXKFVM7FXBNE4VY,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,01DPCDEF6SYX2E1NT5X7HJBFGY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,01DPCG1C1P0MQAV9NMS3N1TDAA,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,01DPCHNEW5F2RHJQ3NJMVPK6SE,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
5,01DPCHNQM0PA0SXZZZX85PF2ZJ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,01DPCQ0CNKKHD3899ZEY9SEDHA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,01DPCRZWX4S2Z8Q5HYDFM4HNEG,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
8,01DPCWRYQMHRAG7NJ3Q5JJMT42,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
9,01DPCXVC45EFA5ZYKAXT412KG1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,01DPCYE6AKJFKJSNCBDTQFG52Y,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11,01DPCZ5DTE59VBYD9NWNSZKC40,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12,01DPD1R0F6Z4EJCPNDKPAG5DPF,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
13,01DPD2FGA0FWFXJCKMT5QBJYHK,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
14,01DPD2FYRJG5WKXX8HEKRN9J9B,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
15,01DPD2GDFTFSPPDSNPFQ0W3PQ7,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,01DPD2JCXH4NYQTRPJA6T6VGA9,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
17,01DPD2MH54WBM1PCZAJTQ91S1Y,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18,01DPD350MSFXMW7S524JKEN2TY,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,01DPD3AGTNRNAKNP8TH9WYG35X,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
20,01DPD3J095SRERSPGGYX9FFRKX,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
21,01DPD4R5X5TQCWTVTC2AEAFC10,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,01DPD7KN5438Z6VNZKFTTGY34G,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
23,01DPD8C9XN7MQSHSSTKTCZZN1N,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,01DPD9MVZAPGVX5P3AY7Y53X9V,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
25,01DPDVGJABJVQ3S3DA3TJRD1R7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
26,01DPEEZGRJYX4N4WE78GPM0B2G,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
27,01DPEKHK88KWY43K7YKC3TPZAJ,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
28,01DPEKV85WAW39XWK1WHXZS96Z,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
29,01DPEN84F0EDT38ZX9H8R6ZTYN,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
30,01DPEQS48Z0CDFW58A4NK19CB4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
31,01DPER1BXHZNAE3BAF7J88ZWNK,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
32,01DPER5W0953YAH19AA4XDV00F,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
33,01DPER92JE6VQ6MBA6T7SC4HTK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
34,01DPER9H4NMHGZXJTCWKN79N53,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
35,01DPERKES7R7ZJCJ9HYWKTS528,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,01DPES95BX86GKMS1ZSJP1CS83,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
37,01DPES9EZ3AWYQH0HYXHGW1T1N,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
38,01DPESC70Q027MGKH56D1JNJHX,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
39,01DPESK4FY8GNM431AE3FPSAFY,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
40,01DPESWQ02NWKBDKA07T5ATPXV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
41,01DPETFFTSDHQ66H03T0F58NX7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
42,01DPETNS8DB4MAR29ER6ESA7XA,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
43,01DPETPH8KWSV94YXR9GAWAF16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
44,01DPETRNK95D68PFASVNTWZDHC,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
45,01DPGS2915ZZY5BGMZPVB0Z3AN,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
46,01DPGSFJK363CXPQDA2NZ7KKH1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
47,01DPGSTG4M1RXB26QMMN0MPPB8,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
48,01DPGT0E7WVPXS08E94KBYJ7MB,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
49,01DPGT6F3DFT5E371X1MB9YMC4,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
50,01DPGTHPSYZCNW17PFDX20C2B6,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
51,01DPGTXD3HEJ83GAWGBNB0PV92,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
52,01DPGTXH6QTM161M660N9W7C3S,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
53,01DPGV4P9Q64D12BEW3CNK5VFP,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
54,01DPGV4YRP3Z8J85DASGZ1Y99W,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
55,01DPGV52E2XTG7PPG8N0PV5K05,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
56,01DPGV74AR5GXBVYEZB86TS9PE,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
57,01DPGV907RVE6WXD00BN285VQV,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58,01DPGV9H71T38N538ND3S5NSMC,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
59,01DPGVAZNJ8XB7TMY3Z7K56S0E,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
60,01DPGVCKPF8T4PQKFHV2TY8HHG,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
61,01DPGVEF7HJ2WP5J1HHS8THN5Y,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
62,01DPGVENJ4DK9VAWAW5G8TH5AR,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
63,01DPGVF16NCKCEGM24V3RQ7JZG,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
64,01DPGVFKW3VKJNRR60DZGJ402V,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
65,01DPGVFN6NS24XFG1MJ2HJKNGR,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
66,01DPGVH2GJSJSVE1RP5TF1J3XS,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
67,01DPGVHG06B7RFN6WWHQ52JREA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
68,01DPGVKMVETJ64KSGV536H32Z4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
69,01DPGVP9X6JH24MWR1V2RW2WNP,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
70,01DPGVPSERRH7AMXV14C0WAZAX,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
71,01DPGVPXGVRATYPX8CVPG6C2JE,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
72,01DPGVPZJKKCV6B6E443K26DBK,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
73,01DPGVQ73Z4Z70HN3T4XS9HBEH,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
74,01DPGVQB95XKE259QQ4NQJZSHS,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
75,01DPGVQFN5QGRBNPH3ZEP8TTGB,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
76,01DPGVQGS119PQ5Y4GNG28G1ZR,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
77,01DPGVQJX1CQ80NT7CYXQ3XSAG,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
78,01DPGVQKRRGMDKHYTC10C5F8DM,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
79,01DPGVQNTVHNCN899K6ST8D84J,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
80,01DPGVQPY781RN59KVY4FANX4S,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
81,01DPGVQSJ329NA1K04NPB3CQRR,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
82,01DPGVQXPMV44THE1FEPS8WMFS,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
83,01DPGVQYVFSBEP5RK51CZTK5YB,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
